,max_depth,min_samples,r_squared_train,r_squared_val
68,18,15,0.9748913877586478,0.9699469005965266
73,19,15,0.9748913877586478,0.9699469005965266
63,17,15,0.9748913877586478,0.9699469005965266
53,15,15,0.9748913877586478,0.9699469005965266
58,16,15,0.9748913877586478,0.9699469005965266
48,14,15,0.9748913877586478,0.9699469005965266
38,12,15,0.9748913877586478,0.9699469005965266
43,13,15,0.9748913877586478,0.9699469005965266
33,11,15,0.9747613982426638,0.9698155229752194
28,10,15,0.9745773444528556,0.9697424399716514
23,9,15,0.973678023767437,0.9685431619364722
18,8,15,0.9620131584867755,0.9685232942109149
13,7,15,0.9580316352519365,0.9666792163014617
39,12,19,0.9705070923809016,0.9652286723050238
59,16,19,0.9705070923809016,0.9652286723050238
49,14,19,0.9705070923809016,0.9652286723050238
54,15,19,0.9705070923809016,0.9652286723050238
64,17,19,0.9705070923809016,0.9652286723050238
44,13,19,0.9705070923809016,0.9652286723050238
74,19,19,0.9705070923809016,0.9652286723050238
69,18,19,0.9705070923809016,0.9652286723050238
34,11,19,0.9703771028649172,0.9651389591135431
29,10,19,0.9702401787010222,0.9650746107440237
55,16,3,0.9994887555361609,0.9646420273602407
65,18,3,0.9994960040996332,0.9646420273602407
70,19,3,0.9994960040996332,0.9646420273602407
60,17,3,0.9994942104584329,0.9646420273602407
50,15,3,0.9994771120312046,0.9645646653854953
45,14,3,0.9994595451124555,0.9644397716432003
35,12,3,0.9992460307908757,0.9644394997746647
40,13,3,0.9993904287974732,0.9642842683094113
30,11,3,0.9990265772384125,0.9640267531407868
24,9,19,0.9693606409731921,0.963909200996806
19,8,19,0.9577874177584171,0.9638714536557906
25,10,3,0.998650250016264,0.963820729470432
15,8,3,0.9859589917527009,0.9626095834042477
20,9,3,0.9976964796848109,0.9623000216158736
10,7,3,0.9813743061357941,0.9621777524602131
14,7,19,0.953805894523578,0.9621252073873863
8,6,15,0.9512444287369857,0.9617573382933179
3,5,15,0.9353158850556683,0.9602079800350041
36,12,7,0.9942966603761382,0.9598964431456287
71,19,7,0.9944506003992907,0.9598110879791718
51,15,7,0.9944506003992907,0.9598110879791718
66,18,7,0.9944506003992907,0.9598110879791718
56,16,7,0.9944506003992907,0.9598110879791718
61,17,7,0.9944506003992907,0.9598110879791718
41,13,7,0.9943969480155325,0.9596959435952849
46,14,7,0.994434991095203,0.9596802291997228
31,11,7,0.9940887209163808,0.9596111563188594
26,10,7,0.9937495902606568,0.9595306610076358
16,8,7,0.9811275980802067,0.9583434198462268
21,9,7,0.9928170724908456,0.9581488551087755
9,6,19,0.9472851728829027,0.9572133281915219
11,7,7,0.9770265221273338,0.955999797449418
4,5,19,0.9315107502730738,0.9556444528936704
37,12,11,0.9843606268923829,0.9535383322412071
27,10,11,0.9838707101137805,0.9533248921499285
32,11,11,0.9842098407695055,0.9533088984115157
57,16,11,0.9844430227374817,0.9532945741721953
52,15,11,0.9844430227374817,0.9532945741721953
47,14,11,0.9844430227374817,0.9532945741721953
42,13,11,0.9844430227374817,0.9532945741721953
72,19,11,0.9844430227374817,0.9532945741721953
62,17,11,0.9844430227374817,0.9532945741721953
67,18,11,0.9844430227374817,0.9532945741721953
17,8,11,0.9713056052678251,0.9521551760554634
22,9,11,0.9829713894278534,0.9520304744164586
5,6,3,0.9727268468076111,0.9514143890553932
6,6,7,0.9701139877992939,0.9508658544052084
0,5,3,0.9517118461589211,0.9501615488476521
12,7,11,0.9672104013355514,0.9500847437181321
1,5,7,0.9512278923627424,0.9490274060500509
7,6,11,0.9604208859295751,0.9450973279407519
2,5,11,0.9423643311485498,0.9435473503482883
